grupo,geral,t≤50,50<t≤150,150<t≤400,t>400
bag,0.6090630444624558,0.5431778117530408,0.5761038743520545,0.6226778352166252,0.6544928621013645
seed_0,0.60661294418265,0.5445769033688534,0.5727779514091911,0.6199662548196568,0.6523260582338487
seed_1,0.6045480343302039,0.5356860591335783,0.5741871968710126,0.6174269775967539,0.6494270656198038
seed_2,0.6061499051315546,0.5356103792059594,0.5726470116236634,0.6204999019562393,0.652583642117844
seed_3,0.604215697044066,0.5331025715576682,0.5685974243185203,0.6198645115241751,0.6505150151465658
