offset,baixa,média,alta,control_level
-30,-0.013163998396152366,-0.0051492657885036305,0.003815728008002851,-0.01266957313155949
-29,-0.000898076179939011,-0.001437086719036651,0.0026258838892132272,-0.01266957313155949
-28,-0.02118377673878673,-0.010332380508354652,0.003915788596189654,-0.01266957313155949
-27,-0.0030081786665734638,-0.0017058216928883673,0.003340822008765471,-0.01266957313155949
-26,-0.013460302579344757,-0.006338382622200908,0.003562943691065911,-0.01266957313155949
-25,-0.0021425382708963243,-0.000945593743010471,0.003529705399913905,-0.01266957313155949
-24,-0.02160417687640994,-0.01036381747800038,0.0031443611432789,-0.01266957313155949
-23,-0.0015544324338452812,-0.0012305902367005907,0.0042416897047313894,-0.01266957313155949
-22,-0.014002334924339712,-0.005962230483635145,0.003477360333463549,-0.01266957313155949
-21,-0.0016425544517666853,-0.0016689418164069303,0.0027810362635588017,-0.01266957313155949
-20,-0.022312867599165224,-0.010159621049088243,0.003641046395879969,-0.01266957313155949
-19,-0.0017369123967235281,-0.003068605101439744,0.002439910799945034,-0.01266957313155949
-18,-0.013905381630649529,-0.006194963254956275,0.002676886460341114,-0.01266957313155949
-17,-0.0028148051762804907,-0.0040458390558191755,0.0010547910007576487,-0.01266957313155949
-16,-0.02115680249092098,-0.01013878158922555,0.0024750362212734934,-0.01266957313155949
-15,-0.0010790887723246614,-0.004440432360691546,0.0018436036351010983,-0.01266957313155949
-14,-0.013664127347914631,-0.006279239336594913,0.0032605043993789947,-0.01266957313155949
-13,-0.0013220942937946642,-0.003005872428899513,0.0018762130809918697,-0.01266957313155949
-12,-0.021220362505412864,-0.010078838335207124,0.0026814258833334392,-0.01266957313155949
-11,-0.003769061894906291,-0.003734592922883468,0.0014375255626029747,-0.01266957313155949
-10,-0.01457023254480066,-0.0068903781324889,0.002544079854375239,-0.01266957313155949
-9,-0.003485068704599695,-0.00398422489317618,0.0017109003230506676,-0.01266957313155949
-8,-0.0219241190011557,-0.010095740449124802,0.002528476614683806,-0.01266957313155949
-7,-0.00505577266811952,-0.003242444432270002,0.0019862197422425665,-0.01266957313155949
-6,-0.014537399819804103,-0.006348000762974628,0.002948532191148078,-0.01266957313155949
-5,-0.005746884738143938,-0.004328899767581826,0.0017768701062150366,-0.01266957313155949
-4,-0.022244366517622325,-0.01065898887606342,0.0028280999728513222,-0.01266957313155949
-3,-0.0044850568872122805,-0.005535969775597857,0.002564823241190366,-0.01266957313155949
-2,-0.015328468226753128,-0.007561444068533053,0.00337087456312568,-0.01266957313155949
-1,-0.0065455886258928425,-0.006515975571283912,0.0018069482980885509,-0.01266957313155949
0,-0.021547173299489925,-0.01103752092626413,0.006169949956598014,-0.01266957313155949
1,-0.005993351226986728,-0.006950893915517583,0.004216029140623229,-0.01266957313155949
2,-0.014776292376964132,-0.006847531814883576,0.007745178601134548,-0.01266957313155949
3,-0.005541328026085899,-0.007082211185967489,0.007623955733733663,-0.01266957313155949
4,-0.022126438215792032,-0.009793801187512755,0.01351505268579563,-0.01266957313155949
5,-0.006943713073533413,-0.005725213493306083,0.010499599841195202,-0.01266957313155949
6,-0.01465264835820917,-0.005939313743692827,0.017437953108342025,-0.01266957313155949
7,-0.006476198809649097,-0.005552882931635119,0.015060452484802964,-0.01266957313155949
8,-0.02257042460007782,-0.008436529190139989,0.022747862700644106,-0.01266957313155949
9,-0.0037662564450574617,-0.004642613391003347,0.0165509176665943,-0.01266957313155949
10,-0.013761949314772155,-0.004412894996070266,0.025696020825474262,-0.01266957313155949
11,-0.004219641637055101,-0.00365719175229676,0.02001307558615848,-0.01266957313155949
12,-0.022376180118005354,-0.008002754466307885,0.02927817439792381,-0.01266957313155949
13,-0.004084085720658869,-0.0032760544117121843,0.02299898162995212,-0.01266957313155949
14,-0.013794881941597463,-0.0032386524592805384,0.03191448533954254,-0.01266957313155949
15,-0.0027438580130542604,-0.004275616774268755,0.025584830342782153,-0.01266957313155949
16,-0.02154777125741349,-0.006979576252611188,0.03551782645349294,-0.01266957313155949
17,-0.0009053262191779395,-0.0044965343847987995,0.02668397665495689,-0.01266957313155949
18,-0.014200591165608652,-0.0016386196293111325,0.0377633737968391,-0.01266957313155949
19,-0.003376344706513097,-0.0048766243732370354,0.028170716904492767,-0.01266957313155949
20,-0.021923569708665,-0.005523684487001269,0.042073235411547276,-0.01266957313155949
21,-0.0025554044965995534,-0.0023440592299369006,0.02953654663010693,-0.01266957313155949
22,-0.013463924595288678,-0.0006360869450387711,0.043706226960626926,-0.01266957313155949
23,-0.0022277289347348685,-0.003350539172522453,0.02946487296068121,-0.01266957313155949
24,-0.0214394825688827,-0.004497138379518384,0.04678548136179736,-0.01266957313155949
25,-0.001342833322418601,-0.0025434855913989583,0.030798971192935058,-0.01266957313155949
26,-0.012990273272905788,0.002409472790180947,0.0480998389191233,-0.01266957313155949
27,-0.0005777386867254548,-0.0008872030817655216,0.03206949243684292,-0.01266957313155949
28,-0.021119549797543075,-0.0016853057299824174,0.051717937693642704,-0.01266957313155949
29,0.0007483689335653307,-0.00045554956096541217,0.032437139312585773,-0.01266957313155949
30,-0.011214484299385588,0.005963024256848206,0.05273316284607965,-0.01266957313155949
31,0.001601313375322598,0.0012640642028305814,0.033875767557822574,-0.01266957313155949
32,-0.021194660959800795,0.0011106399795024822,0.05588781406891972,-0.01266957313155949
33,0.0022174262220801566,0.0012914678950061542,0.03491598386464164,-0.01266957313155949
34,-0.01232628763752597,0.007785729423934135,0.056838172994633174,-0.01266957313155949
35,0.003685685963898653,0.002151984782301124,0.03604829622320436,-0.01266957313155949
36,-0.020881995316370673,0.0023922052346085705,0.061916152899187775,-0.01266957313155949
37,0.004015670554957627,0.002577111090940688,0.03705707529639229,-0.01266957313155949
38,-0.010970594400966063,0.008419442905611875,0.06265946500826944,-0.01266957313155949
39,0.0034295439603814148,0.0010621598039833049,0.0391104021702863,-0.01266957313155949
40,-0.01982813211784544,0.0039417738724809494,0.06685986829238802,-0.01266957313155949
41,0.0026194137422275096,0.0023090390887440296,0.04125636885891216,-0.01266957313155949
42,-0.008988675407771742,0.0098840508386926,0.06889113641179709,-0.01266957313155949
43,-0.0002584432344991017,0.0029476613892248744,0.043181580422996274,-0.01266957313155949
44,-0.018267130681208308,0.005656622386998092,0.07287708466083957,-0.01266957313155949
45,0.002028252272948864,0.0028346704164980752,0.04500753161761789,-0.01266957313155949
46,-0.007048534659973886,0.011204536465962357,0.07422904871459507,-0.01266957313155949
47,0.003907153859622108,0.004279554346063791,0.04653028490098891,-0.01266957313155949
48,-0.017494887460939162,0.00678745152146955,0.07718203764359265,-0.01266957313155949
49,0.006430863529160228,0.0023504201948340536,0.04708642403260809,-0.01266957313155949
50,-0.007560065373106046,0.012155776907370167,0.07733852237886327,-0.01266957313155949
51,0.0064784656870489525,0.002801676055895237,0.04856101556675125,-0.01266957313155949
52,-0.01702504259231014,0.006595108895555977,0.07865870891184691,-0.01266957313155949
53,0.007917241443760336,0.0032380539437902255,0.04578275792855317,-0.01266957313155949
54,-0.006919849573663341,0.014099738926364389,0.08009919561779467,-0.01266957313155949
55,0.007349115773475093,0.003813260517459981,0.04692668893012106,-0.01266957313155949
56,-0.01684199333925251,0.009109459429373499,0.08039270230627336,-0.01266957313155949
57,0.004140447957600697,0.005043669452385659,0.04658244136521994,-0.01266957313155949
58,-0.00743885365805555,0.016411649555066556,0.0816179802142309,-0.01266957313155949
59,0.003085599710203199,0.00567100831078521,0.04624947710155682,-0.01266957313155949
60,-0.017541806267428312,0.011709408410319094,0.08212653913223959,-0.01266957313155949
61,0.003756593383976871,0.006477565206579861,0.04938456448935853,-0.01266957313155949
62,-0.006254240512620723,0.01793449545417134,0.08461259152854507,-0.01266957313155949
63,0.004608696226913887,0.004677890789285298,0.05123189911885599,-0.01266957313155949
64,-0.016517556861891595,0.012022756632609493,0.08665571442709057,-0.01266957313155949
65,0.006067987052333878,0.005198332458138164,0.052042277437907805,-0.01266957313155949
66,-0.005954520248554981,0.019353583137641732,0.08830775539426003,-0.01266957313155949
67,0.0063875604776255845,0.005739821207527857,0.05087632841735549,-0.01266957313155949
68,-0.015543891876208934,0.014068347110684472,0.08828885072486677,-0.01266957313155949
69,0.005491829175174386,0.006256512965157336,0.052760708154807816,-0.01266957313155949
70,-0.0052688833668236915,0.022387034801187665,0.09050351710108138,-0.01266957313155949
71,0.007316718934654935,0.007482629445252799,0.054433503824193666,-0.01266957313155949
72,-0.014058769045701764,0.015880731807865638,0.09210980034923133,-0.01266957313155949
