t_bin_center,ts_auc_bin,weight_bin
5.0,0.5081052214311401,10491817.0
15.0,0.5393810170681154,28369506.0
25.0,0.5509701074872569,43450546.0
35.0,0.5496636313673143,53468422.0
45.0,0.5404337292458652,63361049.0
55.0,0.5538973393087074,73365783.0
65.0,0.5579227837869416,79536949.0
75.0,0.5629341495477318,84788180.0
85.0,0.5735299496527236,89046525.0
95.0,0.5735119388062352,93671635.0
105.0,0.5781762364268849,47670247.0
115.0,0.5889632110035335,48858196.0
125.0,0.5918035453082301,49846893.0
135.0,0.5977318466201644,51019301.0
145.0,0.6036785508693711,52458266.0
155.0,0.6089259058262717,53260544.0
165.0,0.6161754081746308,53464555.0
175.0,0.6184320250819839,53459248.0
185.0,0.620122296837197,53305058.0
195.0,0.6202264058288816,53466998.0
205.0,0.6185815877816492,53553938.0
215.0,0.6194868944973877,53713125.0
225.0,0.6143910268219736,53574954.0
235.0,0.6126987223032225,53319380.0
245.0,0.6175951110439454,52506915.0
255.0,0.6197012119334453,51998730.0
265.0,0.6251790674525814,51680246.0
275.0,0.6254970913174531,51130193.0
285.0,0.6282421450719355,50657434.0
295.0,0.6290072013801432,49806425.0
305.0,0.6291307158955989,49007062.0
315.0,0.6265436289552141,47996233.0
325.0,0.6253645546525928,47140737.0
335.0,0.623876567029441,46168086.0
345.0,0.6210988690461569,45104228.0
355.0,0.624069866978105,44327665.0
365.0,0.6250490161805187,43251024.0
375.0,0.6302906086781719,42154247.0
385.0,0.6361239134807198,40903669.0
395.0,0.6370604447059901,39573292.0
405.0,0.6390157814014082,23225694.0
415.0,0.6367360150784683,15063599.0
425.0,0.6381653357232471,22030363.0
435.0,0.641266245126057,14193334.0
445.0,0.6403863730801314,20638912.0
455.0,0.6427258136544692,13345960.0
465.0,0.6446548226911494,19527790.0
475.0,0.6444414564956363,12673131.0
485.0,0.6461419189461569,18388468.0
495.0,0.6488812196685627,11782742.0
505.0,0.6493637995941751,17055632.0
515.0,0.6475739962718271,10979641.0
525.0,0.6536392171399812,15926832.0
535.0,0.655775555593721,10247776.0
545.0,0.6549165601103223,14787951.0
555.0,0.6512355550229786,9480112.0
565.0,0.6564517011047384,13641782.0
575.0,0.6602388652896319,8728853.0
585.0,0.6635505177082852,12536307.0
595.0,0.6614042173850593,7999317.0
605.0,0.6632586283908889,11514053.0
615.0,0.6624477784456685,7336530.0
625.0,0.6646827504764505,10429204.0
635.0,0.667375996849942,6582736.0
645.0,0.6643136414301638,9330400.0
655.0,0.6664220697787531,5929484.0
665.0,0.6728143590052778,8425709.0
675.0,0.6722649490174284,5300733.0
685.0,0.6763776765179255,7508076.0
695.0,0.6741955315045417,4694466.0
705.0,0.6762636901489587,6648485.0
715.0,0.6786619150011816,4100457.0
725.0,0.6740297332800532,5748239.0
735.0,0.6746818500953087,3557914.0
745.0,0.6732684450540699,4922512.0
755.0,0.6737457990849091,3013034.0
